ID,age [weeks],sex,ALT,AST,GLDH,AP,GGT,CHE,LIP,LDH,PROT,ALB,CREAT,UREA NIT,GLUC,CHOL,TRI,HDL,CK,FT3,FT4
7750023000,8,f,27,102,7.3,227,8,6.1,171,251,44,14,0.3,24,297,58,54,59,,3.5,20.2
7750023100,8,f,20,44,6.8,204,7,5.3,132,159,42,14,0.25,25,367,62,60,58,272,3.8,23.1
7750023200,8,f,20,42,5.9,203,7,5.3,127,169,42,14,0.3,21,423,55,89,54,365,3.7,17
7750023300,8,f,20,40,5,209,9,5.1,138,152,43,14,0.29,24,420,61,83,59,279,4.1,24.5
7750023400,8,f,27,97,6.1,,8,,122,,42,13,0.24,,,59,74,59,743,4,18.8
7750023500,8,f,17,40,5.4,216,7,5,177,159,43,14,0.23,19,344,70,62,71,389,5.2,23.5
7750023600,8,f,35,53,11.6,209,8,5.9,159,149,42,14,0.25,25,363,56,52,58,260,4.4,19.6
7750023700,8,f,25,60,6.3,200,8,5.5,143,188,41,13,0.25,19,392,56,77,59,434,4.2,18
7750023800,8,f,24,38,6.2,,8,,154,,44,14,0.22,,,54,74,57,172,3.6,19.3
7750023900,8,f,30,49,9.7,211,8,6.1,142,175,46,15,0.23,20,421,60,105,66,290,4,22
7750024400,7,f,19,55,8,227,6,4.6,129,196,40,12,0.27,18,314,56,110,54,602,5.4,24.2
7750024500,7,f,44,58,12.1,248,7,5.1,196,194,45,14,0.23,21,312,57,81,55,488,5,21.7
7750024600,7,f,28,53,13.7,266,7,5.6,172,223,46,15,0.2,22,392,61,127,58,484,4.4,23.4
7750024700,7,f,21,36,9.5,239,8,4.5,651,137,41,13,0.25,24,404,58,93,55,246,4.4,18.8
7750024800,7,f,22,58,9.5,280,7,4.9,141,174,43,14,0.14,18,420,64,98,58,479,4.8,26.9
7750024900,7,f,31,52,12.8,253,7,5.2,160,190,42,14,0.21,23,380,<50,93,50,332,4.6,22.2
7750025300,7,f,27,84,10.3,248,7,5.5,152,211,44,14,0.2,21,296,51,84,48,653,4.8,21.4
7750025400,7,f,22,50,10.1,251,7,5.2,133,166,45,15,0.18,22,378,54,58,52,293,4.8,21.6
7750025500,7,f,22,42,9.9,255,7,5.1,138,146,42,14,0.23,19,357,<50,68,45,218,4.8,18.1
7750025600,7,f,23,45,10.9,266,7,5.1,141,160,42,14,0.21,25,373,51,57,50,309,5.2,22.9
7750029800,7,f,32,53,7.9,259,7,5.6,192,201,44,14,0.25,22,196,56,71,56,,5.3,25.2
7750029900,7,f,18,37,6.6,234,7,5.1,139,163,44,14,0.19,17,288,62,62,55,,5.1,24.6
7750030000,7,f,19,44,6.7,226,8,4.7,125,153,40,13,0.17,16,318,54,82,47,,4.7,20.1
7750024000,8,m,27,36,,178,6,4.6,189,152,46,13,0.35,26,313,84,91,85,166,5,24.4
7750024100,8,m,62,76,46.1,132,8,4,170,207,44,11,0.31,23,423,89,121,85,433,4.8,25.9
7750024200,8,m,45,41,8.7,154,7,4.6,157,196,45,13,0.19,26,456,81,150,80,275,5,31.3
7750024300,8,m,38,59,21.6,167,7,4.1,172,209,44,11,0.27,20,,75,132,74,381,4.8,20.7
7750025000,7,m,31,54,,227,6,4.2,256,206,45,12,0.31,24,266,80,105,78,473,5.4,18.8
7750025100,7,m,44,51,30.7,225,7,4,201,183,44,12,0.28,24,284,84,170,75,275,5,20.8
7750025200,7,m,24,40,14.6,202,8,4.1,164,146,43,12,0.28,22,350,76,105,73,311,5.6,21.8
7750030100,7,m,31,63,11.9,200,7,4.6,170,219,45,13,0.23,27,379,75,62,71,,4.2,20.6
7750030200,7,m,26,43,12.8,193,7,4,164,201,42,12,0.19,27,422,68,109,63,,4.3,21.2
7750030300,7,m,31,44,11,202,7,4,168,213,42,12,0.19,24,421,59,94,57,,4.6,22.7
7750030400,7,m,49,52,14.9,181,8,4.6,152,230,43,12,0.26,25,399,76,121,68,,5.1,22.1
7750030500,7,m,22,39,10,178,8,4.1,145,164,43,12,0.24,25,446,68,146,59,,4.1,20.2
7750030600,7,m,30,42,10.1,195,8,4.3,195,189,43,12,0.21,25,476,76,140,70,,4.5,19.6
7750030700,7,m,23,40,12.9,218,7,4,179,154,45,12,0.28,22,251,82,89,76,,5.8,23.9
7750030800,7,m,87,129,17.5,206,6,3.6,176,361,44,12,0.2,22,356,68,117,66,,3.9,20.5
7750030900,7,m,39,59,20.6,199,8,3.9,168,218,43,12,0.2,25,399,71,87,67,,3.8,20.5
7750031000,7,m,29,42,17.8,240,9,3.7,156,185,43,12,0.22,23,468,73,105,67,,3.9,21.1
